#{"t_start": 1747074452.409167, "env_id": "None"}
r,l,t
0.71401435,250,39.152168
0.6869485,250,39.152234
0.81139874,250,39.152245
0.62792975,250,39.152251
0.7330128,250,39.152256
0.66403294,250,39.152262
0.67952335,250,39.152267
0.6691501,250,39.152272
0.8783888,250,39.152277
0.75992364,250,39.152283
0.68490815,250,39.152288
0.7596748,250,39.152293
0.7828524,250,39.152299
0.67729634,250,39.152304
0.72616315,250,39.152309
0.6642551,250,39.152314
0.70460165,250,39.15232
0.7216321,250,39.152325
0.6970736,250,39.152331
0.6698141,250,39.152335
0.75860053,250,39.152341
0.7843769,250,39.152351
0.66664845,250,39.152356
0.71888894,250,39.152361
0.69145036,250,39.152366
0.68721336,250,39.152371
0.6753819,250,39.152378
0.7182741,250,39.152383
0.709642,250,39.152388
0.72132576,250,39.152393
0.65819675,250,39.152398
0.6845179,250,39.152404
0.7375263,250,39.152408
0.7970942,250,39.152414
0.77061725,250,39.152419
0.6499861,250,39.152424
0.7183347,250,39.152429
0.6844215,250,39.152434
0.6885874,250,39.152439
0.70046264,250,39.152444
0.636974,250,39.152449
0.64858043,250,39.152454
0.6701567,250,39.152459
0.73394954,250,39.152464
0.7577958,250,39.152471
0.765473,250,39.152476
0.6432025,250,39.152481
0.65491235,250,39.152486
0.63988334,250,39.152491
0.65433675,250,39.152496
0.723222,250,39.152502
0.7535964,250,39.152507
0.8097226,250,39.152512
0.7728342,250,39.152517
0.8452006,250,39.152522
0.6685167,250,39.152527
0.648007,250,39.152533
0.6456295,250,39.152538
0.6564803,250,39.152543
0.64929444,250,39.152548
0.65773493,250,39.152554
0.77072,250,39.15256
0.7012681,250,39.152565
0.7588968,250,39.15257
0.61944926,250,39.152575
0.647918,250,39.15258
0.8287641,250,39.152585
0.69202465,250,39.152592
0.79713356,250,39.152598
0.6798589,250,39.152604
0.74864805,250,39.152609
0.69806176,250,39.152614
0.7767787,250,39.152619
0.7107884,250,39.152624
0.65029174,250,39.152628
0.6530235,250,39.152634
0.6763153,250,39.152638
0.6977963,250,39.152644
0.683615,250,39.15265
0.66434723,250,39.152655
0.7050566,250,39.152661
0.6510436,250,39.152666
0.754171,250,39.152671
0.6798046,250,39.152676
0.73891306,250,39.152681
0.7795527,250,39.152686
0.6598972,250,39.152691
0.82199293,250,39.152696
0.65015924,250,39.152701
0.6169878,250,39.152706
0.6466996,250,39.152712
0.7363582,250,39.152718
0.6838096,250,39.152723
0.6589083,250,39.152728
0.78081137,250,39.152733
0.682557,250,39.152738
0.61782235,250,39.152743
0.70943373,250,39.152748
0.7186012,250,39.152753
