#{"t_start": 1747184514.6882677, "env_id": "None"}
r,l,t
-7.559201,8,1.554951
-6.573877,10,1.895196
-5.582033,10,1.895252
-7.136531,10,1.895294
-7.5075736,10,1.895314
-6.8408465,10,1.895391
-7.563622,11,2.079194
-6.969553,11,2.079271
-7.157463,11,2.079305
-6.2588243,11,2.079349
-6.8635697,11,2.079392
-6.532667,11,2.079417
-8.56586,11,2.079427
-6.3938293,12,2.263128
-6.5582676,12,2.263185
-3.5689445,12,2.2632
-4.993938,12,2.263209
-6.8849735,12,2.263222
-6.8213983,12,2.263245
-7.0078387,12,2.263261
-6.4505305,12,2.263267
-7.1156774,12,2.263298
-9.045948,12,2.263311
-8.784609,12,2.263328
-4.8861156,12,2.263335
-5.21573,12,2.263342
-8.11801,12,2.263357
-6.22402,12,2.263385
-5.855802,12,2.263449
-7.648255,13,2.442871
-8.424979,13,2.442927
-9.429033,13,2.442957
-8.986181,13,2.442964
-9.839682,13,2.442974
-5.3071165,13,2.44298
-8.642666,13,2.442992
-8.711876,13,2.443008
-7.9100437,13,2.443022
-4.4488344,13,2.443043
-8.510275,13,2.443049
-6.8088427,13,2.443056
-9.83304,13,2.443069
-6.1155877,13,2.443086
-7.2359047,13,2.4431
-8.939189,13,2.443111
-8.464794,13,2.443118
-7.53669,13,2.443127
-8.384899,13,2.443135
-9.899316,13,2.443141
-5.6240892,13,2.443152
-6.8575115,13,2.443163
-4.593644,13,2.443169
-7.571336,13,2.443183
-9.435013,13,2.443194
-8.148238,13,2.443205
-3.6010656,13,2.443216
-8.459908,13,2.443228
-8.364117,14,2.621979
-7.8293977,14,2.62203
-6.1055565,14,2.622041
-8.315656,14,2.622052
-6.87824,14,2.622068
-9.210304,14,2.622085
-6.631343,14,2.622099
-9.307335,14,2.622105
-6.5905433,14,2.622117
-9.23767,14,2.622126
-8.830891,14,2.622146
-6.1465197,14,2.622151
-4.4865546,14,2.622156
-10.105192,14,2.622163
-5.2195525,14,2.622168
-5.857234,14,2.622183
-9.5233555,14,2.622192
-7.673194,14,2.622198
-5.9928885,14,2.622206
-5.5891013,14,2.622211
-6.390499,14,2.622222
-7.153611,14,2.622232
-6.8502254,14,2.622245
-8.035168,14,2.622253
-8.274151,14,2.622262
-6.675025,14,2.62227
-7.731096,14,2.622277
-6.9221816,14,2.622285
-7.881256,14,2.622295
-7.14244,14,2.622303
-2.7559266,14,2.622311
-8.345614,14,2.622319
-1.9199386,14,2.622327
-8.472755,14,2.622332
-8.151658,14,2.622339
-8.669579,14,2.622346
-10.7854595,14,2.622351
-9.108251,14,2.622358
-8.9063,14,2.622365
-4.9114933,14,2.622373
-4.2825766,14,2.622378
-10.702507,14,2.622385
-3.4379373,14,2.622394
-4.5598702,14,2.622399
-7.1005445,14,2.622411
-9.884298,14,2.622418
-9.014568,14,2.622424
-8.776293,14,2.622441
-8.631685,14,2.622449
-3.7967634,15,2.810959
-6.1173687,15,2.811018
-9.215307,15,2.811029
-6.413008,15,2.81104
-4.127462,15,2.811049
-6.7456665,15,2.811066
-5.4534845,15,2.811079
-5.63918,15,2.811088
-7.278121,15,2.811097
-8.702339,15,2.811105
-8.507591,15,2.811114
-4.4650307,15,2.811122
-5.2654514,15,2.811127
-9.802761,15,2.811135
-8.397142,15,2.811142
-4.615471,15,2.811148
-2.653072,15,2.811153
-9.997242,15,2.81116
-2.368058,15,2.811165
-4.308732,15,2.811178
-8.364885,15,2.811186
-8.591606,15,2.811193
-6.7015424,15,2.811201
-3.1254172,15,2.811208
-6.1409817,15,2.811217
-6.5066833,15,2.811223
-5.1451454,15,2.811233
-6.819932,15,2.811238
-5.7460384,15,2.811251
-7.5957713,15,2.811263
-9.590012,15,2.811276
-7.068101,15,2.811282
-6.437909,15,2.811288
-7.682099,15,2.811294
-1.9879818,15,2.811303
-3.3533204,15,2.81131
-6.467714,15,2.811316
-6.208401,15,2.811324
-3.9838634,15,2.81133
-7.5049276,15,2.811336
-8.84206,15,2.811344
-6.6649413,15,2.811352
-5.2297773,15,2.811361
-3.823341,15,2.811367
-8.096477,15,2.811375
-4.1910353,15,2.811385
-2.051013,15,2.811391
-7.626541,15,2.811403
-8.048525,15,2.811409
-7.9738073,15,2.811416
-4.284772,15,2.811422
-6.762671,15,2.811454
-7.834424,15,2.811461
-8.840589,15,2.811468
-4.5949054,15,2.811475
-2.6426725,15,2.811482
-6.6888323,15,2.811487
-4.3131485,15,2.811494
-2.405984,15,2.811501
-5.9511576,16,2.992527
-1.148222,16,2.992575
-6.8081913,16,2.992585
-2.2039576,16,2.992592
-7.599795,16,2.992601
-6.22208,16,2.992613
-6.6105824,16,2.992625
-6.3869,16,2.992633
-7.134379,16,2.992639
-7.1175466,16,2.992658
-9.986214,16,2.992667
-6.263529,16,2.992674
-10.340313,16,2.992679
-8.6094475,16,2.992691
-9.322807,16,2.992702
-10.439522,16,2.992707
-6.3225455,16,2.992712
-4.8877983,16,2.992722
