#{"t_start": 1747094223.8235068, "env_id": "None"}
r,l,t
1.2795789,250,37.022358
1.0809858,250,37.022403
0.7753556,250,37.022413
1.4565328,250,37.022419
0.91056156,250,37.022424
0.8687344,250,37.022429
1.2508873,250,37.022435
1.5418835,250,37.02244
1.6804045,250,37.022449
1.9170876,250,37.022456
0.6989929,250,37.022462
0.86449355,250,37.022467
0.68510133,250,37.022472
1.2992802,250,37.022477
1.361509,250,37.022482
0.8307794,250,37.022487
0.96922076,250,37.022492
1.3208371,250,37.022498
1.0487399,250,37.022503
1.2804757,250,37.022508
1.0900545,250,37.022513
1.2376269,250,37.022518
1.004837,250,37.022523
0.7540649,250,37.022528
0.8559935,250,37.022533
1.3790728,250,37.022537
0.8201663,250,37.022542
0.7827525,250,37.022547
1.1371366,250,37.022552
0.75292176,250,37.022557
1.0197634,250,37.022563
1.1223367,250,37.022569
1.4793601,250,37.022574
1.1740892,250,37.022579
0.92464525,250,37.022584
0.8325556,250,37.022589
0.8343898,250,37.022594
0.93326974,250,37.022599
1.2864108,250,37.022604
1.5485468,250,37.022609
1.1244818,250,37.022614
0.9730658,250,37.022619
0.7842064,250,37.022625
1.0393246,250,37.022629
1.7165455,250,37.022635
0.8267913,250,37.02264
0.9392535,250,37.022645
1.4887244,250,37.022651
0.8192495,250,37.022656
0.8407898,250,37.022662
0.79351974,250,37.022668
1.0335811,250,37.022673
2.1514893,250,37.022678
1.0235224,250,37.022684
0.8081873,250,37.022688
0.9030551,250,37.022693
1.7072972,250,37.022699
1.8551615,250,37.022703
0.8909595,250,37.022708
1.0817088,250,37.022713
1.2113119,250,37.022719
0.83427143,250,37.022725
1.443364,250,37.02273
1.0593239,250,37.022735
0.8466702,250,37.022741
1.0857528,250,37.022745
1.8750861,250,37.022751
0.7280545,250,37.022756
0.6429948,250,37.022761
2.0263674,250,37.022766
0.9982779,250,37.022771
1.260083,250,37.022777
1.721962,250,37.022789
0.7465475,250,37.022794
0.65671015,250,37.022799
1.5414637,250,37.022804
1.3363942,250,37.022809
0.8781893,250,37.022814
1.5263531,250,37.02282
0.9759668,250,37.022825
2.0466845,250,37.02283
2.1489127,250,37.022835
1.1676397,250,37.02284
0.95370156,250,37.022846
0.66950375,250,37.022852
0.93526435,250,37.022857
0.97877336,250,37.022862
1.6905153,250,37.022867
0.801568,250,37.022873
0.86022264,250,37.022878
0.95573586,250,37.022883
1.289468,250,37.022888
1.3600184,250,37.022893
0.77145255,250,37.022899
1.0610975,250,37.022904
0.8699988,250,37.022911
0.8411138,250,37.022917
1.4029067,250,37.022922
1.1349055,250,37.022926
1.4090232,250,37.022931
1.278783,250,37.022936
0.9140714,250,37.022942
0.8582601,250,37.022947
1.2216829,250,37.022952
0.8207396,250,37.022957
0.74971366,250,37.022962
1.2921377,250,37.022967
1.4165807,250,37.022973
1.1470373,250,37.022978
0.78956366,250,37.022983
1.3798865,250,37.022989
0.9529486,250,37.022994
0.8854628,250,37.023
1.7569817,250,37.023005
0.74052715,250,37.02301
1.1241237,250,37.023015
